Universe, creation|Вселенная, создание
starving, malnourished, anemic, emaciated,|голодают, недоедают, страдают анемией, истощенным,
Skin disease|Кожные заболевания
Use this domain for words related to skin diseases such as leprosy, boils, and rashes.|Используйте этот домен для слов, связанных с кожных заболеваний, таких как проказа, кипит, и сыпь.
(1) What words refer to a sore in the skin?|(1) Какие слова относятся к боль в коже?
boil, infection, sore, open sore, scab, rash, ulcer, abscess, bunion, growth, tumor, bruise, gangrene, inflammation, pox, lesion, canker, corn, eruption, blister, bedsore, cold sore,|кипятить, инфекции, боль в, открытая рана, струп, сыпь, язвы, абсцессы, бурсит большого пальца стопы, рост, опухоль, кровоподтек, гангрена, воспаление, оспа, повреждение, рак, кукуруза, сыпь, волдырь, пролежней, герпеса,
(2) What are the names of specific skin diseases?|(2) То, что имена конкретных кожных заболеваний?
leprosy, chickenpox, smallpox, measles, German measles, scabies, ringworm, (itching of foot due to worms), dermatitis, eczema, fungus, shingles,|проказа, ветряная оспа, оспа, корь, краснуха, чесотка, стригущий лишай, (зуд ноги из-за червей), дерматит, экзема, грибок, лишай,
(3) What words refer to having an infection?|(3) Какие слова относятся к наличию инфекции?
have an infection, be infected, infect, get infected, break out, develop an infection,|уже инфекция, заразиться, заразить, заразиться, вырваться, развивать инфекцию,
(4) What words refer to an infection becoming worse?|(4) Какие слова относятся к инфекции становится хуже?
spread, turn gangrenous, fester, peel, break,|распространение, включите гангрена, нагноение, очистить, брейк,
(5) What words refer to a small sore in the skin?|(5) Какие слова относятся к небольшой болячки на коже?
(6) What words refer to pus?|(6) Какие слова относятся к гноя?
pus, pustule,|гной, пустулы,
(7) What does pus do?|(7) Что гной делать?
ooze, run,|ил, бегать,
(8) What words refer to a person with a skin disease?|(8) Какие слова относятся к человеку с заболеванием кожи?
leper|прокаженный
Stomach illness|Желудок болезнь
Use this domain for words related to stomach illness.|Используйте этот домен для слов, связанных с болезнью желудка.
(1) What words refer to being sick in your stomach?|(1) Какие слова относятся к будучи больным в желудке?
have an upset stomach, have a stomach-ache, tummy-ache, be sick to your stomach,|расстройство желудка, есть боль в животе, боль в животе, быть больным для вашего желудка,
(2) What types of stomach illness are there?|(2) Какие типы болезни желудка есть?
vomiting, morning sickness, indigestion, diarrhea, dysentery, constipation, constipated, ulcer, ulcerate, ulcerated, intestinal obstruction, worms,|рвота, утром болезни, расстройства пищеварения, диарея, дизентерия, запор, запор, язвы, изъязвление, изъязвление, кишечная непроходимость, червей,
(3) What words refer to vomiting?|(3) Какие слова относятся к рвоте?
be sick, throw up, vomit, puke, barf, bring up, regurgitate, spew,|быть больным, бросить, рвота, рвота, блевать, воспитывать, пересказывают, выбрасывают,
(4) What words refer to vomiting without bringing anything up?|(4) Какие слова относятся к рвоте, ничего не взяв на?
retch, heave, gag,|позывы на рвоту, вспучивание, кляп,
(5) What are the symptoms of stomach illness?|(5) Каковы симптомы болезни желудка?
gas, belching, cramps,|газ, отрыжка, судороги,
(6) What words describe how you feel when your stomach is sick?|(6) Какие слова описывают, как вы себя чувствуете, когда ваш желудок заболел?
feel sick, queasy, nausea, be going to be sick, nauseated, nauseous,|тошнит, тошноту, тошнота, быть стошнит, тошноту, тошноту,
(7) What words refer to something making your stomach feel sick?|(7) Какие слова относятся к чему-то делает ваш желудок тошнит?
nauseate, give you an upset stomach, make you sick to your stomach,|тошнит, дать Вам расстройство желудка, чтобы вы больны, чтобы ваш желудок,
Tooth decay|Кариес
Use this domain for words related to tooth decay.|Используйте этот домен для слов, связанных с кариесом.
(1) What words are used to describe a tooth that has gone bad?|(1) Какие слова используются для описания зуб, которая прошла плохо?
tooth decay, cavity, loose, rotten, gingivitis,|кариес, полость, свободная, гнилые, гингивит,
(2) What words refer to the pain caused by a bad tooth?|(2) То, что слова относятся к боли, вызванной плохой зуб?
toothache|зубная боль
(3) What words refer to losing a tooth?|(3) Какие слова относятся к потере зуба?
lose a tooth, knock out, missing,|потерять зуб, выбить, пропавших без вести,
(4) What words refer to removing a tooth?|(4) Какие слова относятся к удалению зуба?
extract a tooth, pull a tooth, have a tooth out, extraction,|извлечь зуб, вытащить зуб, есть зуб, добыча,
(5) What words refer to fixing a tooth?|(5) Какие слова относятся к фиксации зуб?
fill, filling, drill, cap, root canal,|заполнить, наполнение, дрель, крышка, корневой канал,
(6) What words refer to false teeth?|(6) Какие слова относятся к ложным зубы?
false teeth, dentures,|вставные зубы, зубные протезы,
(7) What words refer to a person who treats bad teeth?|(7) Какие слова относятся к человеку, который лечит больные зубы?
dentist, oral surgeon, dentistry,|стоматолог, челюстно-лицевой хирург, стоматология,
Injure|Ранить
Use this domain for words related to injuring someone.|Используйте этот домен для слов, связанных с ранив кого-то.
(1) What words refer to injuring someone?|(1) Какие слова относятся к ранив кого-то?
injure, harm, hurt, wound, abuse, violate, electrocute, electrocution, mistreat, mistreatment, inflict injury,|ранить, вреда, вред, рана, злоупотребления, нарушения, на электрическом стуле, казнь на электрическом стуле, дурно, жестокое обращение, нанести травму,
(2) What words refer to injuring a part of your body?|(2) То, что слова относятся к ранив часть вашего тела?
injure, damage, hurt, impair,|ранить, повреждение, больно, ухудшают,
(3) What words refer to injuring a bone or joint?|(3) Какие слова относятся к ранив кость или сустав?
break, fracture, dislocate, crack, hamstring, jam, sprain, stub, twist, wrench, do your back in, put out your back,|Перерыв, перелом, вывихнуть, трещина, подколенного сухожилия, джем, растяжение, заглушки, поворот, гаечный ключ, сделать вашу спину в, потушить спину,
(4) What words refer to injuring a muscle?|(4) Какие слова относятся к ранив мышцы?
pull, strain, tear, cramp, spasm, convulsion,|тянуть, штамм, разрыв, спазм, спазм, судорога,
(5) What words refer to being injured by being cut?|(5) Какие слова относятся к ранения путем резать?
cut, bayonet, buffet, butt, chop, claw, clout, club, gash, jab, knife, lacerate, maul, savage, slice, spear, stab, traumatize, scratch, scrape, graze, mutilate,|вырезать, штык, шведский стол, приклад, измельчить, коготь, ППТЮ, клуб, рана, удар, нож, мучить, мол, дикарь, ломтик, копье, удар, травмировать, царапина, царапины, пасутся, калечить,
(6) What words refer to being injured by being hit?|(6) Какие слова относятся к ранения в удара?
hit, bash, batter, beat up, belt, black eye, bludgeon, bruise, crush, concussion, cudgel, cuff, hammer, horsewhip, kick, knee, knock, lash, pelt, pummel, punch, slap, smack, smash, squash, stone, strike, thwack, whip,|хит, Bash, тесто, бить, ремень, черные глаза, дубинкой, синяк, раздавить, сотрясение мозга, дубина, манжеты, молоток, хлыст, удар, колено, стучите, ресниц, шкура, бить, бить, бить, привкус, разбить, сквош, камень, забастовка, Thwack, кнут,
(7) What words refer to being injured by being burned?|(7) Что слова относятся к тому, ранены сожгли?
burn, first/second/third degree burn, boil, scald,|сжечь, прежде / второй / третий ожог степени, кипятить, ошпаривают,
(8) What words refer to being injured?|(8) Какие слова относятся к ранения?
be injured, sustain an injury, be bleeding, be hurt, get hurt, be wounded, suffer harm,|быть ранены, поддерживать травмы, быть кровотечение, больно, больно, быть раненым, страдают вреда,
(9) What words refer to someone who has been injured?|(9) Какие слова относятся к кому-то, кто был травмирован?
casualty, victim, the injured, the wounded,|несчастных, потерпевший, травму, ранения,
(10) What words refer to a person wounded in war?|(10) Какие слова относятся к человеку ранен на войне?
wounded in action, purple heart,|ранен в бою, фиолетовый сердца,
(11) What words describe someone who has been injured?|(11) Какие слова описывают, кто был ранен?
injured, harmed, wounded,|ранения, пострадали, ранения,
(12) What words describe a part of your body that has been injured?|(12) Какие слова описывают часть вашего тела, что получил травму?
injured, hurt, impaired, damaged,|ранения, боль, нарушение, повреждение,
(13) What words refer to an injury?|(13) Какие слова относятся к травмам?
injury, accident, bruise, cut, impairment, wound, slash, puncture, stab, sprain, tear/pull a muscle, shock, concussion, bump, break a bone, fracture, dislocate a bone, dislocation, sprain, put out an eye, nose bleed, scar, sting, bite, sore, blister, contusion, frostbite, heatstroke, sunstroke, sunburn, burn, welt, drug overdose,|травмы, аварии, ушиб, вырезать, нарушения, рана, слэш, прокол, удар, растяжение, разрыв / тянуть мышцы, шок, сотрясение мозга, удар, сломать кости, перелом, вывихнуть кости, Вывих, растяжение, выколоть глаз , нос кровотечение, рубцовая, жало, укус, боль, блистер, контузии, обморожения, тепловой удар, солнечный удар, солнечный ожог, ожог, рубец, передозировка наркотиков,
(14) What words describe the seriousness of an injury?|(14) Какие слова описывают серьезность травмы?
crippling, serious (injury), minor (injury), bad (accident), deep (wound), bad (sprain), third degree (burn), compound (fracture), critical, critically, fatal, fatally, sore (finger)|парализует, серьезный (травмы), незначительные (травмы), плохо (авария), глубокая (рана), плохо (растяжение), третьей степени (ожог), соединение (перелом), критическая, критически, со смертельным исходом, смертельно, боль (палец)
(15) What words describe someone who is not injured?|(15) Какие слова описывают, кто не пострадал?
unharmed, unhurt, unscathed, come to no harm, no harm done, without a scratch, in one piece, walk away from|целыми и невредимыми, невредим, невредимым, пришел к без вреда, никакого вреда, без единой царапины, в одной части, ходьбы от
(16) What words describe something that can injure someone?|(16) Какие слова описывают то, что может ранить кого-то?
dangerous, harmful,|опасно, вредно,
(17) What words describe something that cannot injure someone?|(17) Какие слова описывают то, что не может ранить кого-то?
harmless,|безвредны,
Amputate|Ампутировать
Use this domain for words related to amputating or losing a limb or other part of your body.|Используйте этот домен для слов, связанных с ампутации или потери конечности или другой части тела.
(1) What words refer to the condition of having lost a limb?|(1) Какие слова относятся к состоянию потеряв конечность?
be an amputee, disfigured,|быть ампутантов, изуродовали,
(2) What words refer to the event or process that results in losing a limb?|(2) То, что слова относятся к событию или процесса, в результате потери конечности?
amputate, amputation, lose a limb, sever, mutilate|ампутировать, ампутации, теряют конечности, разорвать, калечить
(3) What words refer to a person who has lost a limb?|(3) Какие слова относятся к человеку, который потерял конечность?
amputee|человек с ампутированной конечностью
(4) What things are used by a person who has lost a limb?|(4) Какие вещи используются человека, который потерял конечность?
artificial limb, wooden leg, peg leg, prosthesis|протез, деревянная нога, Нога, протезирование
Poison|Яд
Use this domain for words referring to poison--something that is bad for your body if you eat it, it gets on you, or an animal injects it into you.|Используйте этот домен для слов, относящихся к яду - что-то, что плохо для вашего тела, если вы едите его, он получает от вас, или животное впрыскивает его в вас.
(1) What general words refer to poison?|(1) Что общего слова относятся к яду?
poison, toxin,|яд, токсин,
(2) What types of animal poisons are there?|(2) Какие типы животных ядов есть?
snakebite, bee sting, venom|укус ядовитой змеи, укус пчелы, яд
(3) What types of plant poisons are there?|(3) Какие виды растений ядов есть?
poison ivy, hemlock,|ядовитый плющ, болиголов,
(4) What types of poison are eaten or drunk?|(4) Какие виды яда ел и не пил?
food poisoning, arsenic, cyanide|пищевое отравление, мышьяк, цианид
(5) What types of poison affect the skin?|(5) Какие виды яда влияют на кожу?
toxic substance, insecticide|токсичное вещество, инсектицид
(6) What words describe something that is poisonous?|(6) Какие слова описывают то, что является ядовитым?
harmful, poisonous, toxic, noxious,|вредно, ядовитые, токсичные, вредные,
(7) What words refer to giving someone poison?|(7) Какие слова относятся к предоставлению кому-то яд?
poison (v),|яд (v),
(8) What words refer to an animal putting poison into a person?|(8) Какие слова относятся к животным положить яд в человека?
bite, sting, inject,|укусить, ужалить, вводят,
(9) What words refer to treating snakebite?|(9) Какие слова относятся к лечению укус ядовитой змеи?
treat for (snakebite), snakebite treatment, cut vein, suck poison out, snakebite kit|лечить (укуса змеи), лечения укусов змей, вырезать вены, сосать яд, укус ядовитой змеи комплект
(10) What words refer to treating poison that is eaten or drunk?|(10) Какие слова относятся к лечению яд, который съел или выпил?
antidote, administer (the antidote)|противоядие, администрирование (противоядие)
Disabled|Инвалид
Use this domain for general words for being disabled--to be injured or born with a condition, so that some part of your body does not work.|Используйте этот домен для общих слов за то, что отключена - быть ранены или родился с условием, так, что часть вашего тела не работает.
(1) What words refer to being disabled?|(1) Какие слова относятся к инвалидность?
be disabled, have special needs, be crippled, be lame, be paralyzed, have a withered arm|быть отключена, имеют особые потребности, быть калекой, хромой, будут парализованы, есть сухую руку
(2) What words refer to disabling someone?|(2) То, что слова относятся к отключению кого-то?
disable, handicap (v), cripple, paralyze, maim, mutilate, disfigure,|отключить, инвалидности (v), калечат, парализовать, калечить, портить, уродовать,
(3) What words refer to the condition of being disabled?|(3) Какие слова относятся к состоянию быть отключен?
disability, handicap (n), disfigurement, mutilation, paralysis, palsy,|инвалидности, инвалидности (п), увечья, нанесение увечий, паралич, паралич,
(4) What words refer to a disabled person?|(4) Какие слова относятся к инвалиду?
the disabled, people with disabilities, the handicapped, cripple (n), lame (n), paraplegic (legs only), quadriplegic (all four limbs), paralytic,|инвалидов, людей с ограниченными возможностями, инвалиды, калечат (п), хромой (п), страдающий параличом нижних конечностей (только ног), парализованного (все четыре конечности), паралитические,
(5) What words describe someone who has been disabled?|(5) Какие слова описывают, кто был отключен?
disabled, handicapped, crippled, paralyzed, partially paralyzed, totally paralyzed, maimed, disfigured, mutilated, lame,|инвалидов, инвалидов, калек, парализована, частично парализована, полностью парализована, увечных, изуродовали, изувечены, хромой,
(6) What things are used by a crippled person?|(6) Какие вещи используются искалеченного человека?
crutch, cane, wheelchair, walker, stretcher, pallet,|костыль, трость, инвалидная коляска, ходунки, носилки, поддон,
Blind|Слепой
Use this domain for words related to being blind.|Используйте этот домен для слов, связанных с будучи слепым.
(1) What words describe someone who is blind?|(1) Какие слова описывают, кто слеп?
blind, sightless, can't see, totally blind, visually handicapped, visually-impaired,|слепой, слепой, не вижу, совершенно слеп, слабовидящих, слабовидящих,
(2) What words refer to becoming blind?|(2) То, что слова относятся к становлению слепым?
lose your sight, go blind, struck blind,|потерять зрение, слепнуть, ослепли,
(3) What words refer to making someone blind?|(3) Какие слова относятся к созданию кто-то слепой?
blind (v),|слепой (v),
(4) What words refer to a blind person?|(4) Какие слова относятся к слепому человеку?
blind person, blind man, the blind,|слепой человек, слепой, слепой,
(5) What words refer to the condition of being blind?|(5) Какие слова относятся к состоянию будучи слепым?
blindness,|слепота,
(6) What things are used by a blind person?|(6) Какие вещи используются слепого?
cane, dark glasses, seeing-eye dog, Braille|тростник, темные очки, собакой-поводырем, шрифтом Брайля
Poor eyesight|Плохое зрение
Use this domain for words related to having poor eyesight.|Используйте этот домен для слов, связанных к тому, плохое зрение.
(1) What words describe someone who cannot see well?|(1) Какие слова описывают, кто не может хорошо видеть?
near-sighted, far-sighted, as blind as a bat, partially blind, have poor eyesight, astigmatism, color-blind, cross-eyed,|близорукие, дальновидный, слеп, как летучая мышь, частично слепой, плохое зрение, астигматизм, дальтоник, косоглазый,
(2) What words refer to a disease that causes poor eyesight?|(2) Какие слова относятся к болезни, которая вызывает плохое зрение?
cataracts, glaucoma,|катаракта, глаукома,
(3) What words refer to glasses?|(3) Какие слова относятся к стеклам?
(4) What words refer to wearing glasses?|(4) Какие слова относятся к ношению очков?
wear glasses,|носить очки,
(5) What words refer to a doctor who makes glasses?|(5) Какие слова относятся к доктору, который делает очки?
optometrist, optician, eye doctor,|оптик, оптик, окулист,
(6) What words refer to the making of glasses?|(6) Какие слова относятся к изготовлению очков?
eye exam, prescription, frames, lens|глаз экзамен, рецепт, кадры, линзы
Deaf|Глухой
Use this domain for words related to being deaf.|Используйте этот домен для слов, связанных с быть глухим.
(1) What words describe someone who is deaf?|(1) Какие слова описывают кого-то, кто глух?
deaf,|глухой,
(2) What words describe someone who is partially deaf?|(2) То, что слова описывают, кто частично глухой?
be hard of hearing, hearing impaired|быть слухом, слабослышащих
(3) What words describe someone who is totally deaf?|(3) Какие слова описывают кого-то, кто полностью глухим?
be stone deaf, be as deaf as a post, totally deaf, profoundly deaf,|быть глухим, быть глухой, как столб, полностью глухим, глубоко глухих,
(4) What words refer to a deaf person?|(4) Какие слова относятся к глухой?
deaf man, the deaf,|глухой, глухой,
(5) What words refer to becoming deaf?|(5) Какие слова относятся к становлению глухой?
go deaf, become deaf, lose your hearing, deafen,|глохнуть, оглох, потерять слух, оглушить,
(6) What words refer to the condition of being deaf?|(6) Какие слова относятся к состоянию быть глухим?
deafness,|глухота,
(7) What things are used by a deaf person?|(7) Какие вещи используются в глухой?
hearing aid, ear trumpet,|Слуховой аппарат, ухо труба,
(8) What words refer to a deaf person talking using their hands?|(8) Какие слова относятся к глухой говорить, используя свои руки?
sign language, sign (v),|язык жестов, войдите (v),
(9) What words refer to a deaf person understanding someone by watching their mouth?|(9) Какие слова относятся к глухой понимание кого-то, наблюдая их рот?
lip-read, lip-reading,|читать с губ, чтение с губ,
Mute|Немой
Use this domain for words related to being mute--unable to speak (usually because of being unable to hear).|Используйте этот домен для слов, связанных к тому, немой - не могла говорить (как правило, из-за невозможности услышать).
(1) What words refer to the condition of being mute?|(1) Какие слова относятся к состоянию нет звука?
be dumb, mute, unable to speak|быть немым, немой, не в состоянии говорить
(2) What words refer to a person who cannot speak?|(2) То, что слова относятся к человеку, который не может говорить?
mute, dumb person|немой, немой человек
(3) What things are used by the person who cannot speak?|(3) Какие вещи используются человека, который не может говорить?
sign language, gestures, writing|язык жестов, жесты, письмо
Birth defect|Врожденный дефект
Use this domain for words related to having a birth defect.|Используйте этот домен для слов, связанных к тому, врожденный дефект.
(1) What words refer to something that is wrong with a baby?|(1) Какие слова относятся к чему-то не так с ребенком?
birth defect, genetic defect, congenital abnormality, deformity,|врожденный дефект, генетический дефект, врожденных аномалий, деформации,
(2) What words describe a deformed baby?|(2) Какие слова описывают деформированное ребенка?
deformed, abnormal, misshapen,|деформируются, ненормальное, деформировано,
(3) What words refer to a deformed baby?|(3) Какие слова относятся к деформированной ребенка?
freak,|урод,
(4) What kinds of abnormalities are there?|(4) Какие нарушения есть?
albino, bowlegged, flatfooted, humpbacked, withered arm, shrunken arm, harelip, cleft palate, cerebral palsy, Downs syndrome, club-footed,|альбинос, кривоногий, застигнутый врасплох, горбатый, увядшие рука, рука сморщенные, заячья губа, волчья пасть, церебральный паралич, синдром Downs, клуб-ногой,
(5) What words refer to giving birth to a deformed baby?|(5) Какие слова относятся к родить деформированной ребенка?
Cause of disease|Причина заболевания
Use this domain for words referring to the cause of disease.|Используйте этот домен для слов, относящихся к делу заболевания.
(1) What words refer to the cause of a disease?|(1) Какие слова относятся к делу заболевания?
cause, source,|причиной, источником,
(2) What words refer to causing someone to be sick?|(2) То, что слова относятся к вызывая кого-то болеть?
make someone sick, spread sickness, infect, be infectious, be contagious, communicable,|сделать кто-то болен, распространение болезни, заражают, быть заразным, быть заразным, инфекционных,
(3) What things cause disease?|(3) Какие вещи вызывают заболевания?
infection, contagion, curse, spirit, psychosomatic, bacteria, virus, germ, chill, exposure, chemical imbalance, genetic defect,|инфекции, заражение, проклятие, дух, психосоматические, бактерий, вирусов, зародыш, озноб, экспозиции, химический дисбаланс, генетический дефект,
(4) What words describe something that can make you sick?|(4) Какие слова описывают то, что может сделать вас больным?
infectious, contagious, be bad for you, be bad for your health, unsanitary, unhygienic,|инфекционные, заразителен, быть плохо для вас, плохо для вашего здоровья, в антисанитарном состоянии, негигиенично,
(5) What words refer to finding the cause of a disease?|(5) Какие слова относятся к нахождению причину заболевания?
diagnose,|диагностики,
Symptom of disease|Симптом болезни
Use this domain for words for symptoms of disease--something that happens to you when you get sick, something that shows that you are sick.|Используйте этот домен для слов для симптомов болезни - то, что происходит с вами, когда вы заболели, то, что показывает, что вы больны.
(1) What words refer to a symptom?|(1) Какие слова относятся к симптом?
symptom, sign, indication, evidence, warning, pathology,|симптом, признак, признак, свидетельство, предупреждение, патология,
(2) What types of symptoms are there?|(2) Какие типы симптомов есть?
shock, delirious, numb,|шок, в бреду, онемение,
(3) What words refer to feeling weak?|(3) Какие слова относятся к чувствуя слабость?
weak, weakened, feel tired, no energy, debilitate, enervate,|слабый, ослабленный, чувствуете усталость, нет энергии, ослабить, расслабленный,
(4) What words refer to the skin changing color due to illness?|(4) Какие слова относятся к коже Изменение цвета из-за болезни?
pale, flushed, red, dark (circles under the eyes), spot, rash,|бледные, покраснел, красный, темно-(круги под глазами), точечный, сыпь,
(5) What words refer to itching when the skin is irritated?|(5) Какие слова относятся к зуд, когда кожа раздражена?
itch, have an itch, scratch, be irritated|зуд, есть зуд, царапины, раздражаться
(6) What words refer to coughing?|(6) Какие слова относятся к кашля?
cough, sneeze, clear throat, hack|кашле, чихании, откашляться, хак
(7) What words refer to muscles cramping from pain?|(7) Какие слова относятся к мышцам крампинга от боли?
cramp, be bent over (with pain), doubled up (with pain), spasm,|судороги, быть согнута над (с болью), в два раза до (с болью), спазм,
(8) What words refer to the body shaking due to illness?|(8) Какие слова относятся к телу дрожащим из-за болезни?
convulsion, chills, fit,|судороги, озноб, нужным,
(9) What words refer to feeling dizzy or faint?|(9) Какие слова относятся к головокружение или обморок?
dizzy, dizziness, feel faint,|головокружение, головокружение, дурно,
Pain|Боль
Use this domain for words related to pain|Используйте этот домен для слов, связанных с болью
(1) What words refer to pain?|(1) Какие слова относятся к боли?
pain, ache, hurt (n), misery, suffering, sufferings, soreness,|боль, боль, боль (п), страдания, страдания, страдания, боль,
(2) What words refer to being in pain?|(2) То, что слова относятся к тому, в боли?
be in pain, be in agony, feel pain, have a pain in, suffer, hurt (vi), bear pain, endure, agonize, feel bad, feel miserable, suffer,|быть в боли, быть в агонии, чувствовать боль, есть боль в, страдают, больно (VI), медведь боль, терпеть, мучиться, плохо, чувствовать себя несчастным, страдать,
(3) What words refer to a part of your body hurting?|(3) Какие слова относятся к части вашего тела больно?
hurt, ache, be agony, sting,|боль, боль, быть агония, жало,
(4) What words describe a part of your body that is in pain?|(4) Какие слова описывают часть вашего тела, которая находится в боли?
painful, aching, sore (adj), stiff, tender,|болезненные, ноющие, больные (прил), жесткая, нежная,
(5) What words refer to pain in a particular part of your body?|(5) Какие слова относятся к боли в определенной части вашего тела?
backache, earache, headache, migraine, stomachache, toothache, labor pains, sore throat,|боль в спине, боль в ухе, головная боль, мигрень, боль в животе, зубная боль, схватки, боль в горле,
(6) What words refer to a mild pain?|(6) Какие слова относятся к умеренной боли?
discomfort, feel uncomfortable, mild, hurts a little bit, itch, prickle, smart, sting, stinging, tingle, tingling, stitch, twinge, dull,|дискомфорт, чувствовать себя некомфортно, мягкий, больно немного, зуд, покалывание, умного, жало, жало, покалывание, покалывание, стежок, приступ, тупая,
(7) What words refer to a bad pain?|(7) Какие слова относятся к плохой боли?
agony, agonize, agonizing, anguish, burn, hurts a lot, really hurts, acute, racked with pain, horrible, excruciating, torment, raw pain,|агония, мучиться, мучительная, тоска, сжечь, больно много, на самом деле больно, остро, ломал с болью, ужасной, мучительной, мучений, сырье боли,
(8) What words describe pain increasing?|(8) Какие слова описывают увеличение боль?
increase, grow, rise|увеличение, расти, расти
(9) What words describe pain decreasing?|(9) Какие слова описывают боль уменьшается?
subside, go away, fade|утихать, уходить, увядает
(10) What words refer to a pain that increases and decreases repeatedly?|(10) Какие слова относятся к боли, что увеличивает и уменьшает неоднократно?
throb, throbbing,|пульсация, пульсация,
(11) What words refer to a pain that lasts a short time?|(11) Какие слова относятся к боли, которая длится короткое время?
attack, sharp, pang, piercing, prick, shooting, stab, stabbing, throes, paroxysm, wrenching pain,|атаки, острые, острая боль, пирсинг, колоть, стрельба, удар, колоть, муки, пароксизм, мучительным боль,
(12) What words refer to causing pain?|(12) Какие слова относятся к вызывая боль?
hurt, inflict pain, torture, afflict, torment,|больно, причинять боль, пытки, причинять боль, мучения,
(13) What words refer to something causing pain?|(13) Какие слова относятся к чему-то, вызывая боль?
hurt, painful, cause pain, sting, irritate,|больно, больно, потому боль, жало, раздражение,
(14) What words refer to relieving pain?|(14) Какие слова относятся к облегчению боли?
relieve, relief, soothe, treat, alleviate, painkiller, anesthetize, anesthetic,|облегчить, облегчение, успокаивают, лечат, облегчить, болеутоляющее, обезболить, обезболивающее,
(15) What words refer to making noise because you are in pain?|(15) Какие слова относятся к шуметь, потому что вы находитесь в боли?
cry out, scream, howl, yell, shriek, groan, moan, weep,|кричать, кричать, выть, кричать, крик, стон, стон, плакать,
(16) What words refer to moving because you are in pain?|(16) Какие слова относятся к перемещению, потому что вы находитесь в боли?
writhe in pain, double up, contorted with pain, convulse, convulsion, cramp, cramps, wince,|корчиться от боли, удвоить, искаженным от боли, конвульсии, судороги, спазмы, судороги, вздрагивание,
(17) What do you say when you are hurt?|(17) Что вы скажете, когда вы больно?
Ow! Ouch!|Ой! Ой!
(18) What words refer to not causing pain?|(18) Какие слова относятся не вызывая боль?
not hurt, painless, not feel a thing,|не больно, безболезненный, не чувствовать себя вещь,
Fever|Лихорадка
Use this domain for words related to having a fever.|Используйте этот домен для слов, связанных к тому, лихорадка.
(1) What words refer to having a fever?|(1) Какие слова относятся к тому, лихорадка?
fever, feverish, temperature, have a fever/temperature, run a temperature, be hot, be burning up,|лихорадка, лихорадочные, температура, уже лихорадка / температуры, запустить температуру, быть горячей, сгорая,
(2) What words refer to a fever increasing?|(2) То, что слова относятся к лихорадке увеличением?
rise|подниматься
(3) What words refer to a fever decreasing?|(3) Какие слова относятся к лихорадке уменьшается?
fall, break|осенью, перерыв
(4) What are the symptoms of having a fever?|(4) Каковы симптомы наличия лихорадки?
shiver, shake, have the shakes, chills|Дрожь, трясти, есть трясет озноб,
(5) What words refer to measuring someone's fever?|(5) Какие слова относятся к измерению кто-то лихорадку?
take someone's temperature,|принять чью-то температура,
(6) What instruments are used for measuring a fever?|(6) Какие инструменты используются для измерения лихорадка?
thermometer|термометр
Swell|Зыбь
Use this domain for words related to swelling of the body.|Используйте этот домен для слов, связанных с отеком тела.
(1) What words refer to swelling?|(1) Какие слова относятся к набуханию?
swell, swelling, edema, inflammation,|набухают, отек, отек, воспаление,
(2) What words refer to swelling in a particular part of the body?|(2) То, что слова относятся к набуханию в определенной части тела?
swollen abdomen, swollen muscle, hernia, swelling in groin|опухшие живота, опухшие мышцы, грыжа, опухоль в паху
(3) What words describe something that has swollen?|(3) Какие слова описывают то, что опухшие?
swollen, puffy, inflamed,|опухшие, одутловатое, воспаление,
(4) What words refer to swelling increasing?|(4) Какие слова относятся к набуханию увеличивается?
swell up, get swollen|опухают, получить опухшие
(5) What words refer to swelling decreasing?|(5) Какие слова относятся к набуханию уменьшается?
relieve swelling, reduce swelling, go down|облегчить отек, уменьшить отек, спуститься
Lose consciousness|Терять сознание
Use this domain for words related to losing consciousness, including fainting, being knocked out, and anesthesia.|Используйте этот домен для слов, связанных с потерей сознания, в том числе обмороки, выбиты, и анестезия.
(1) What words refer to being conscious?|(1) Какие слова относятся к тому, в сознании?
be conscious, consciousness, awake|быть сознательным, сознание, проснулся
(2) What words refer to losing consciousness?|(2) То, что слова относятся к потере сознания?
lose consciousness, go unconscious, faint, pass out, swoon, be knocked out, go into a coma, collapse,|потерять сознание, перейти в бессознательном состоянии, обморок, обморок, падать в обморок, выбиты, перейдите в коме, коллапс,
